"PVWatts: Hourly PV Performance Data"
"Requested Location:","140 Gulf St Milford CT"
"Location:","Lat, Lon: 41.21, -73.06"
"Lat (deg N):","41.21"
"Long (deg W):","73.06"
"Elev (m):","24.272727966309"
"DC System Size (kW):","52.6"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","182"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.159"
"Capacity Factor (%)","14.8"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"3","4","8","468","115","-4","3","369.373","3.852","17736.248","17037.725"
"3","4","9","893","106","-3","2","738.65","16.703","34255.395","32956.223"
"3","4","10","528","205","-2","2","667.69","17.041","31214.311","30040.203"
"3","4","11","952","128","-1","2","996.499","26.328","44687.734","42909.863"
"3","4","12","944","132","0","2","1001.217","28.434","44459.988","42693.391"
"3","4","13","913","132","0","2","921.457","26.416","41248.602","39637.043"
"3","4","14","854","124","0","2","765.921","22.139","34765.117","33444.348"
"3","4","15","489","120","0","2","409.874","12.132","19139.012","18396.979"
"3","4","16","285","78","-1","2","189.371","3.737","8736.778","8284.313"
"3","4","17","0","17","-2","2","16.114","-3.088","824.379","540.955"
"3","4","18","0","0","-3","3","0","-3","0","0"
"3","4","19","0","0","-3","3","0","-3","0","0"
"3","4","20","0","0","-4","3","0","-4","0","0"
"3","4","21","0","0","-5","3","0","-5","0","0"
"3","4","22","0","0","-5","2","0","-5","0","0"
"3","4","23","0","0","-5","2","0","-5","0","0"
"3","5","0","0","0","-5","2","0","-5","0","0"
"3","5","1","0","0","-6","2","0","-6","0","0"
"3","5","2","0","0","-6","2","0","-6","0","0"
"3","5","3","0","0","-6","2","0","-6","0","0"
"3","5","4","0","0","-6","2","0","-6","0","0"
"3","5","5","0","0","-6","2","0","-6","0","0"
"3","5","6","0","5","-5","1","4.727","-7.681","246.432","0"
"3","5","7","201","75","-3","0","140.988","-0.39","6580.667","6178.651"
"3","5","8","414","126","-1","0","355.169","12.471","16479.729","15818.999"
"3","5","9","867","117","0","0","735.483","28.503","32307.086","31088.791"
"3","5","10","914","131","1","1","903.221","30.644","39595.922","38061.305"
"3","5","11","653","187","2","1","804.426","29.461","35549.805","34195.418"
"3","5","12","725","161","2","1","845.41","30.207","37229.762","35801.949"
"3","5","13","662","165","3","1","754.671","28.69","33432.613","32167.924"
"3","5","14","747","103","2","2","664.704","20.833","30356.293","29216.287"
"3","5","15","485","123","1","2","411.755","12.793","19182.023","18438.633"
"3","5","16","164","87","0","2","153.045","3.708","7221.308","6804.645"
"3","5","17","90","19","0","2","36.547","-0.628","1565.392","1268.015"
"3","5","18","0","0","0","3","0","0","0","0"
"3","5","19","0","0","0","3","0","0","0","0"
"3","5","20","0","0","0","3","0","0","0","0"
"3","5","21","0","0","0","3","0","0","0","0"
"3","5","22","0","0","0","2","0","0","0","0"
"3","5","23","0","0","0","2","0","0","0","0"
"3","6","0","0","0","0","2","0","0","0","0"
"3","6","1","0","0","1","2","0","1","0","0"
"3","6","2","0","0","1","3","0","1","0","0"
"3","6","3","0","0","2","3","0","2","0","0"
"3","6","4","0","0","2","3","0","2","0","0"
"3","6","5","0","0","2","3","0","2","0","0"
"3","6","6","0","7","2","3","6.621","0.323","333.916","59.513"
"3","6","7","35","78","3","3","88.787","3.32","4327.729","3974.918"
"3","6","8","46","152","4","3","178.097","6.796","8679.588","8228.502"
"3","6","9","0","57","5","4","54.138","4.925","2677.558","2358.51"
"3","6","10","0","81","6","4","77.039","6.172","3789.781","3448.189"
"3","6","11","9","219","6","3","222.804","9.876","10784.548","10281.124"
"3","6","12","225","324","7","3","552.889","19.288","25644.688","24682.676"
"3","6","13","274","287","7","3","550.504","20.095","25418.443","24464.584"
"3","6","14","474","189","6","3","561.863","19.383","25892.035","24921.07"
"3","6","15","624","95","5","2","462.851","17.703","21019.455","20216.91"
"3","6","16","309","79","4","2","199.396","9.168","8972.538","8514.356"
"3","6","17","50","19","3","3","28.458","2.355","1266.63","974.925"
"3","6","18","0","0","3","3","0","3","0","0"
"3","6","19","0","0","3","2","0","3","0","0"
"3","6","20","0","0","3","2","0","3","0","0"
"3","6","21","0","0","2","2","0","2","0","0"
"3","6","22","0","0","2","2","0","2","0","0"
"3","6","23","0","0","2","3","0","2","0","0"
"3","7","0","0","0","2","2","0","2","0","0"
"3","7","1","0","0","2","2","0","2","0","0"
"3","7","2","0","0","2","2","0","2","0","0"
"3","7","3","0","0","3","1","0","3","0","0"
"3","7","4","0","0","3","1","0","3","0","0"
"3","7","5","0","0","3","1","0","3","0","0"
"3","7","6","23","10","3","1","12.936","0.8","584.393","305.404"
"3","7","7","409","79","5","1","213.032","9.613","9266.838","8801.467"
"3","7","8","289","151","7","1","313.742","16","14434.938","13833.325"
"3","7","9","812","104","9","1","689.415","30.016","30081.398","28952.211"
"3","7","10","529","212","11","1","680.908","33.334","29492.268","28386.078"
"3","7","11","575","220","13","1","770.37","37.752","32696.332","31462.094"
"3","7","12","514","250","14","1","753.041","38.573","31835.43","30636.311"
"3","7","13","445","248","15","1","661.454","36.826","28181.945","27126.033"
"3","7","14","335","224","14","1","491.309","30.494","21517.949","20698.945"
"3","7","15","0","127","12","1","123.539","16.28","5812.054","5427.228"
"3","7","16","200","103","9","2","183.437","12.478","8327.908","7885.262"
"3","7","17","32","16","7","2","21.071","6.113","938.408","652.861"
"3","7","18","0","0","5","2","0","5","0","0"
"3","7","19","0","0","5","2","0","5","0","0"
"3","7","20","0","0","5","2","0","5","0","0"
"3","7","21","0","0","4","2","0","4","0","0"
"3","7","22","0","0","4","3","0","4","0","0"
"3","7","23","0","0","4","3","0","4","0","0"
"3","8","0","0","0","4","3","0","4","0","0"
"3","8","1","0","0","4","3","0","4","0","0"
"3","8","2","0","0","4","3","0","4","0","0"
"3","8","3","0","0","5","2","0","5","0","0"
"3","8","4","0","0","5","2","0","5","0","0"
"3","8","5","0","0","5","2","0","5","0","0"
"3","8","6","0","6","7","2","5.673","5.062","280.418","6.989"
"3","8","7","355","70","8","2","188.252","11.177","8157.131","7718.551"
"3","8","8","405","136","9","2","365.046","17.695","16593.523","15929.417"
"3","8","9","281","242","10","2","461.864","21.891","21058.563","20254.732"
"3","8","10","498","226","10","2","672.13","27.744","29914.168","28791.533"
"3","8","11","319","314","11","2","635.8","28.444","28250.92","27192.391"
"3","8","12","188","336","11","1","533.588","28.76","23679.096","22786.701"
"3","8","13","0","93","10","1","88.493","13.368","4218.003","3867.496"
"3","8","14","0","163","10","1","158.634","13.243","7565.449","7140.798"
"3","8","15","0","65","9","1","61.73","9.361","2994.891","2669.5"
"3","8","16","0","16","8","1","15.147","6.178","745.11","463.155"
"3","8","17","0","2","8","1","1.889","5.449","93.232","0"
"3","8","18","0","0","7","1","0","7","0","0"
"3","8","19","0","0","7","1","0","7","0","0"
"3","8","20","0","0","6","1","0","6","0","0"
"3","8","21","0","0","5","1","0","5","0","0"
"3","8","22","0","0","4","1","0","4","0","0"
"3","8","23","0","0","4","2","0","4","0","0"
"3","9","0","0","0","4","2","0","4","0","0"
"3","9","1","0","0","4","3","0","4","0","0"
"3","9","2","0","0","4","3","0","4","0","0"
"3","9","3","0","0","3","3","0","3","0","0"
"3","9","4","0","0","3","2","0","3","0","0"
"3","9","5","0","0","3","2","0","3","0","0"
"3","9","6","0","15","3","2","14.212","1.17","714.229","432.846"
"3","9","7","0","12","3","2","11.356","1.135","570.794","292.055"
"3","9","8","0","28","4","2","26.545","2.573","1326.117","1033.287"
"3","9","9","0","29","4","2","27.519","2.66","1374.297","1080.554"
"3","9","10","0","34","4","1","32.296","2.485","1614.018","1315.712"
